ticket_id,timestamp,channel,route_id,raw_text,category,severity,is_urgent,resolved
C0001,2025-03-14 12:08,SMS,R7,R7 never showed at the scheduled time again.,Delay,Low,False,True
C0002,2025-03-24 23:20,WhatsApp,R12,Rubbish all over the floor of the R12 vehicle.,Cleanliness,High,True,False
C0003,2025-02-09 02:35,WhatsApp,R12,The R12 vehicle had bald tyres and a broken door.,Safety,High,True,True
C0004,2025-02-22 07:02,SMS,R3,R3 never showed at the scheduled time again.,Delay,Medium,False,True
C0005,2025-02-17 13:40,SMS,R7,Operator OP-103 is collecting extra money and refusing change.,Overcharging,Low,False,False
C0006,2025-03-18 11:05,WhatsApp,R14,"I left my phone on the R14 bus this afternoon, please help.",Lost Item,Medium,True,False
C0007,2025-03-02 10:54,SMS,R12,Is R12 running during the public holiday?,Other,Low,False,True
C0008,2025-02-28 13:49,WhatsApp,R9,Is R9 running during the public holiday?,Other,Medium,False,False
C0009,2025-02-14 18:59,SMS,R3,Conductor on R3 charged me 2026 Le above the posted fare.,Overcharging,Medium,False,False
C0010,2025-02-14 22:44,Call,R3,Conductor on R3 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,True
C0011,2025-03-25 14:42,SMS,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,High,True,False
C0012,2025-03-25 16:32,SMS,R9,Conductor on R9 charged me 2505 Le above the posted fare.,Overcharging,Low,False,False
C0013,2025-02-07 10:00,InPerson,R9,Why did I pay 2692 Le when the board says the fare is lower?,Overcharging,High,True,True
C0014,2025-03-22 06:10,WhatsApp,R12,"Lost a bag of documents on R12, who do I contact?",Lost Item,Medium,True,False
C0015,2025-03-21 21:20,Call,R12,Operator OP-104 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0016,2025-03-05 14:59,Call,R14,The R14 vehicle had bald tyres and a broken door.,Safety,Medium,True,True
C0017,2025-03-24 21:15,WhatsApp,R12,"Lost a bag of documents on R12, who do I contact?",Lost Item,High,True,False
C0018,2025-03-24 17:41,WhatsApp,R7,Conductor on R7 was rude and shouting at an elderly woman.,Staff Conduct,High,True,False
C0019,2025-02-21 20:40,Call,R7,"Waited almost an hour for R7, completely unacceptable.",Delay,Medium,False,True
C0020,2025-03-15 04:52,SMS,R12,Why did I pay 2600 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0021,2025-02-28 12:30,SMS,R12,Operator OP-107 staff refused to help with my luggage.,Staff Conduct,Medium,False,False
C0022,2025-03-27 16:33,Call,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,False
C0023,2025-02-12 16:21,SMS,R14,The R14 vehicle had bald tyres and a broken door.,Safety,Medium,True,False
C0024,2025-02-15 22:17,SMS,R21,Rubbish all over the floor of the R21 vehicle.,Cleanliness,Low,False,True
C0025,2025-03-22 13:27,WhatsApp,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,Medium,True,True
C0026,2025-03-26 13:30,WhatsApp,R3,"Operator OP-108 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0027,2025-02-08 03:13,Call,R9,Driver on R9 was speeding and overtaking dangerously.,Safety,High,True,True
C0028,2025-02-14 16:37,SMS,R9,"Bus on R9 was 41 minutes late this morning, no announcement.",Delay,Medium,False,False
C0029,2025-02-25 05:24,SMS,R7,The R7 vehicle had bald tyres and a broken door.,Safety,High,True,False
C0030,2025-02-16 12:13,Call,R7,Operator OP-111 is collecting extra money and refusing change.,Overcharging,Medium,False,True
C0031,2025-03-02 14:02,WhatsApp,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,False
C0032,2025-02-14 06:25,SMS,R12,Conductor on R12 charged me 2652 Le above the posted fare.,Overcharging,Low,False,False
C0033,2025-03-18 18:22,SMS,R12,"Lost a bag of documents on R12, who do I contact?",Lost Item,High,True,False
C0034,2025-02-07 11:41,Call,R21,Operator OP-106 is collecting extra money and refusing change.,Overcharging,High,True,False
C0035,2025-03-08 01:51,Call,R12,"Bus on R12 was 13 minutes late this morning, no announcement.",Delay,Low,False,False
C0036,2025-03-27 17:53,WhatsApp,R21,Conductor on R21 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,True
C0037,2025-03-16 13:51,SMS,R12,"Bus on R12 was 42 minutes late this morning, no announcement.",Delay,Medium,False,False
C0038,2025-03-16 18:14,Call,R9,"Bus on R9 was 52 minutes late this morning, no announcement.",Delay,Medium,False,True
C0039,2025-02-18 03:37,Call,R12,"Bus on R12 was 40 minutes late this morning, no announcement.",Delay,High,True,True
C0040,2025-02-27 08:07,WhatsApp,R14,"I left my phone on the R14 bus this afternoon, please help.",Lost Item,Medium,True,True
C0041,2025-03-06 19:43,InPerson,R12,"Bus on R12 was 47 minutes late this morning, no announcement.",Delay,Medium,False,False
C0042,2025-04-02 01:24,WhatsApp,R9,"Operator OP-117 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0043,2025-02-04 09:47,Call,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,High,True,False
C0044,2025-03-26 01:36,SMS,R12,Conductor on R12 charged me 2158 Le above the posted fare.,Overcharging,Medium,False,False
C0045,2025-03-01 18:53,WhatsApp,R3,Operator OP-103 is collecting extra money and refusing change.,Overcharging,Medium,False,False
C0046,2025-02-06 11:05,SMS,R14,"Lost a bag of documents on R14, who do I contact?",Lost Item,High,True,True
C0047,2025-03-03 18:09,SMS,R3,Conductor on R3 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,True
C0048,2025-03-09 23:21,WhatsApp,R12,"Lost a bag of documents on R12, who do I contact?",Lost Item,High,True,False
C0049,2025-03-11 02:24,SMS,R21,"Waited almost an hour for R21, completely unacceptable.",Delay,High,True,True
C0050,2025-02-05 21:38,SMS,R14,R14 never showed at the scheduled time again.,Delay,Medium,False,False
C0051,2025-03-23 01:53,InPerson,R7,"Lost a bag of documents on R7, who do I contact?",Lost Item,Medium,True,True
C0052,2025-03-25 08:31,Call,R12,The R12 vehicle had bald tyres and a broken door.,Safety,High,True,False
C0053,2025-02-09 05:47,Call,R21,Operator OP-102 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0054,2025-03-06 00:08,SMS,R21,"Lost a bag of documents on R21, who do I contact?",Lost Item,Medium,True,True
C0055,2025-02-21 15:55,SMS,R3,"Bus on R3 was 35 minutes late this morning, no announcement.",Delay,Medium,False,True
C0056,2025-02-16 23:30,WhatsApp,R7,Rubbish all over the floor of the R7 vehicle.,Cleanliness,Low,False,False
C0057,2025-02-07 01:47,WhatsApp,R21,The R21 vehicle had bald tyres and a broken door.,Safety,Medium,True,True
C0058,2025-03-26 01:14,WhatsApp,R3,"Lost a bag of documents on R3, who do I contact?",Lost Item,High,True,True
C0059,2025-03-30 01:54,SMS,R9,Rubbish all over the floor of the R9 vehicle.,Cleanliness,Medium,False,False
C0060,2025-03-10 18:38,Call,R3,Is R3 running during the public holiday?,Other,Medium,False,True
C0061,2025-02-28 00:54,Call,R7,"Waited almost an hour for R7, completely unacceptable.",Delay,Low,False,True
C0062,2025-03-15 00:16,Call,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,High,True,True
C0063,2025-03-02 23:37,Call,R21,Conductor on R21 charged me 2398 Le above the posted fare.,Overcharging,Low,False,True
C0064,2025-02-23 10:56,Call,R12,"Waited almost an hour for R12, completely unacceptable.",Delay,Low,False,False
C0065,2025-04-04 03:30,InPerson,R12,"I left my phone on the R12 bus this afternoon, please help.",Lost Item,High,True,True
C0066,2025-02-22 23:40,SMS,R7,"Bus on R7 was 47 minutes late this morning, no announcement.",Delay,Low,False,True
C0067,2025-02-25 05:53,Call,R12,Operator OP-113 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0068,2025-03-09 00:26,Call,R12,Conductor on R12 was rude and shouting at an elderly woman.,Staff Conduct,Medium,False,False
C0069,2025-04-02 03:21,Call,R7,Rubbish all over the floor of the R7 vehicle.,Cleanliness,Medium,False,True
C0070,2025-03-25 09:11,Call,R12,Is R12 running during the public holiday?,Other,Low,False,False
C0071,2025-03-09 19:21,SMS,R7,Is R7 running during the public holiday?,Other,Medium,False,True
C0072,2025-02-21 14:49,WhatsApp,R14,Driver on R14 was speeding and overtaking dangerously.,Safety,High,True,False
C0073,2025-02-24 16:54,SMS,R21,Where can I get the timetable for R21?,Other,Medium,False,False
C0074,2025-03-26 08:50,Call,R3,"The R3 bus was filthy, seats torn and smelling.",Cleanliness,Low,False,False
C0075,2025-02-04 17:09,SMS,R9,R9 never showed at the scheduled time again.,Delay,High,True,False
C0076,2025-03-28 07:13,Call,R9,Where can I get the timetable for R9?,Other,Low,False,False
C0077,2025-02-12 00:57,WhatsApp,R14,Conductor on R14 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0078,2025-02-26 23:57,SMS,R9,R9 never showed at the scheduled time again.,Delay,Low,False,True
C0079,2025-03-13 00:44,InPerson,R3,R3 never showed at the scheduled time again.,Delay,Medium,False,False
C0080,2025-03-27 09:19,SMS,R12,R12 never showed at the scheduled time again.,Delay,Medium,False,False
C0081,2025-02-11 18:37,SMS,R7,"Operator OP-120 let too many standing passengers, felt unsafe.",Safety,Medium,True,True
C0082,2025-03-17 07:49,Call,R21,Is R21 running during the public holiday?,Other,Low,False,True
C0083,2025-04-03 18:27,SMS,R14,"The R14 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,False
C0084,2025-03-07 07:39,Call,R9,"Waited almost an hour for R9, completely unacceptable.",Delay,High,True,False
C0085,2025-02-21 11:03,Call,R14,"Bus on R14 was 32 minutes late this morning, no announcement.",Delay,Low,False,True
C0086,2025-02-26 04:53,WhatsApp,R14,Rubbish all over the floor of the R14 vehicle.,Cleanliness,Low,False,True
C0087,2025-03-28 00:10,SMS,R7,Where can I get the timetable for R7?,Other,High,True,True
C0088,2025-02-21 17:42,Call,R7,Why did I pay 835 Le when the board says the fare is lower?,Overcharging,Medium,False,False
C0089,2025-02-13 00:18,SMS,R21,"Lost a bag of documents on R21, who do I contact?",Lost Item,High,True,True
C0090,2025-03-27 23:39,SMS,R7,R7 never showed at the scheduled time again.,Delay,Medium,False,False
C0091,2025-02-13 07:42,WhatsApp,R14,R14 never showed at the scheduled time again.,Delay,Medium,False,True
C0092,2025-03-18 23:21,SMS,R14,Operator OP-108 is collecting extra money and refusing change.,Overcharging,Low,False,False
C0093,2025-02-21 00:13,WhatsApp,R7,"I left my phone on the R7 bus this afternoon, please help.",Lost Item,High,True,True
C0094,2025-02-19 13:08,Call,R3,Operator OP-109 staff refused to help with my luggage.,Staff Conduct,Low,False,False
C0095,2025-03-08 18:15,Call,R12,Operator OP-106 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0096,2025-02-17 18:53,WhatsApp,R12,"The R12 bus was filthy, seats torn and smelling.",Cleanliness,Low,False,True
C0097,2025-03-21 19:00,SMS,R12,The R12 vehicle had bald tyres and a broken door.,Safety,High,True,True
C0098,2025-04-01 09:11,WhatsApp,R3,"Bus on R3 was 23 minutes late this morning, no announcement.",Delay,Low,False,True
C0099,2025-03-24 23:52,WhatsApp,R21,Operator OP-111 staff refused to help with my luggage.,Staff Conduct,Medium,False,False
C0100,2025-03-29 17:12,WhatsApp,R14,The R14 vehicle had bald tyres and a broken door.,Safety,Medium,True,True
C0101,2025-04-01 19:07,Call,R3,Conductor on R3 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0102,2025-03-06 02:45,Call,R12,Operator OP-104 staff refused to help with my luggage.,Staff Conduct,Low,False,True
C0103,2025-02-12 02:22,Call,R3,Driver on R3 was speeding and overtaking dangerously.,Safety,Medium,True,False
C0104,2025-03-02 03:22,InPerson,R21,"Bus on R21 was 10 minutes late this morning, no announcement.",Delay,Low,False,False
C0105,2025-02-22 17:25,Call,R12,"Waited almost an hour for R12, completely unacceptable.",Delay,Medium,False,True
C0106,2025-02-05 19:58,SMS,R9,"Operator OP-117 let too many standing passengers, felt unsafe.",Safety,Medium,True,True
C0107,2025-04-03 23:35,Call,R7,Is R7 running during the public holiday?,Other,Low,False,True
C0108,2025-04-01 14:41,Call,R3,"Bus on R3 was 27 minutes late this morning, no announcement.",Delay,Low,False,True
C0109,2025-02-12 23:07,SMS,R3,Why did I pay 2943 Le when the board says the fare is lower?,Overcharging,Low,False,True
C0110,2025-03-25 21:42,SMS,R14,Conductor on R14 was rude and shouting at an elderly woman.,Staff Conduct,Low,False,False
C0111,2025-03-06 10:48,SMS,R14,"Waited almost an hour for R14, completely unacceptable.",Delay,High,True,False
C0112,2025-04-01 09:10,SMS,R12,The R12 vehicle had bald tyres and a broken door.,Safety,High,True,False
C0113,2025-02-25 22:25,SMS,R21,"The R21 bus was filthy, seats torn and smelling.",Cleanliness,Medium,False,True
C0114,2025-03-28 00:19,Call,R12,Driver on R12 was speeding and overtaking dangerously.,Safety,High,True,True
C0115,2025-02-09 15:45,SMS,R9,"Waited almost an hour for R9, completely unacceptable.",Delay,Medium,False,True
C0116,2025-02-21 05:22,SMS,R14,"Operator OP-113 let too many standing passengers, felt unsafe.",Safety,High,True,True
C0117,2025-03-07 05:54,Call,R3,Driver on R3 was speeding and overtaking dangerously.,Safety,High,True,True
